timestamp,code,uid,parameter,value
2023-01-18,576/1,100094,GWL_DEPTH,2.06
2023-02-08,576/1,100094,GWL_DEPTH,1.98
2023-03-06,576/1,100094,GWL_DEPTH,1.81
2023-04-01,576/1,100094,GWL_DEPTH,1.81
2023-05-08,576/1,100094,GWL_DEPTH,2.06
2023-06-13,576/1,100094,GWL_DEPTH,2.5
2023-07-07,576/1,100094,GWL_DEPTH,2.66
2023-08-02,576/1,100094,GWL_DEPTH,3.4
2023-09-01,576/1,100094,GWL_DEPTH,3.4
2023-10-26,576/1,100094,GWL_DEPTH,3.4
2023-11-27,576/1,100094,GWL_DEPTH,3.4
2023-12-18,576/1,100094,GWL_DEPTH,1.92
2024-01-14,576/1,100094,GWL_DEPTH,1.83
2024-02-15,576/1,100094,GWL_DEPTH,0.91
2024-04-16,576/1,100094,GWL_DEPTH,0.98
2024-06-07,576/1,100094,GWL_DEPTH,1.62
2024-08-01,576/1,100094,GWL_DEPTH,2.04
2024-10-07,576/1,100094,GWL_DEPTH,3.4
2024-12-04,576/1,100094,GWL_DEPTH,2.22
2023-01-18,584/10,100196,GWL_DEPTH,3.13
2023-02-08,584/10,100196,GWL_DEPTH,3.14
2023-03-06,584/10,100196,GWL_DEPTH,3.23
2023-04-01,584/10,100196,GWL_DEPTH,3.31
2023-05-08,584/10,100196,GWL_DEPTH,3.94
2023-06-13,584/10,100196,GWL_DEPTH,4.68
2023-07-07,584/10,100196,GWL_DEPTH,5.2
2023-08-02,584/10,100196,GWL_DEPTH,5.69
2023-09-01,584/10,100196,GWL_DEPTH,6.2
2023-10-26,584/10,100196,GWL_DEPTH,6.7
2023-11-27,584/10,100196,GWL_DEPTH,6.67
2023-12-18,584/10,100196,GWL_DEPTH,5.65
2024-01-14,584/10,100196,GWL_DEPTH,4.36
2024-02-15,584/10,100196,GWL_DEPTH,2.95
2024-04-16,584/10,100196,GWL_DEPTH,3.0
2024-06-07,584/10,100196,GWL_DEPTH,3.57
2024-08-01,584/10,100196,GWL_DEPTH,4.55
2024-10-07,584/10,100196,GWL_DEPTH,6.0
2024-12-04,584/10,100196,GWL_DEPTH,4.44
2023-01-18,584/4,100192,GWL_DEPTH,3.17
2023-02-08,584/4,100192,GWL_DEPTH,3.07
2023-03-06,584/4,100192,GWL_DEPTH,2.96
2023-04-01,584/4,100192,GWL_DEPTH,2.89
2023-05-08,584/4,100192,GWL_DEPTH,2.98
2023-06-13,584/4,100192,GWL_DEPTH,3.08
2023-07-07,584/4,100192,GWL_DEPTH,3.63
2023-08-02,584/4,100192,GWL_DEPTH,3.8
2023-09-01,584/4,100192,GWL_DEPTH,4.13
2023-10-26,584/4,100192,GWL_DEPTH,5.98
2023-11-27,584/4,100192,GWL_DEPTH,4.54
2023-12-18,584/4,100192,GWL_DEPTH,4.09
2024-01-14,584/4,100192,GWL_DEPTH,3.8
2024-02-15,584/4,100192,GWL_DEPTH,2.97
2024-04-16,584/4,100192,GWL_DEPTH,1.54
2024-06-07,584/4,100192,GWL_DEPTH,2.56
2024-08-01,584/4,100192,GWL_DEPTH,2.89
2024-10-07,584/4,100192,GWL_DEPTH,4.78
2024-12-04,584/4,100192,GWL_DEPTH,3.26
2023-01-18,584/7,100193,GWL_DEPTH,2.04
2023-02-08,584/7,100193,GWL_DEPTH,1.86
2023-03-06,584/7,100193,GWL_DEPTH,1.73
2023-04-01,584/7,100193,GWL_DEPTH,1.79
2023-05-08,584/7,100193,GWL_DEPTH,2.59
2023-06-13,584/7,100193,GWL_DEPTH,2.45
2023-07-07,584/7,100193,GWL_DEPTH,2.67
2023-08-02,584/7,100193,GWL_DEPTH,3.03
2023-09-01,584/7,100193,GWL_DEPTH,3.18
2023-10-26,584/7,100193,GWL_DEPTH,3.09
2023-11-27,584/7,100193,GWL_DEPTH,2.98
2023-12-18,584/7,100193,GWL_DEPTH,2.81
2024-01-14,584/7,100193,GWL_DEPTH,2.41
2024-02-15,584/7,100193,GWL_DEPTH,1.59
2024-04-16,584/7,100193,GWL_DEPTH,1.02
2024-06-07,584/7,100193,GWL_DEPTH,1.78
2024-08-01,584/7,100193,GWL_DEPTH,2.15
2024-10-07,584/7,100193,GWL_DEPTH,2.77
2024-12-04,584/7,100193,GWL_DEPTH,2.4
2023-01-18,584/9,100195,GWL_DEPTH,3.04
2023-03-06,584/9,100195,GWL_DEPTH,3.2
2023-04-01,584/9,100195,GWL_DEPTH,3.32
2023-05-08,584/9,100195,GWL_DEPTH,3.96
2023-06-13,584/9,100195,GWL_DEPTH,4.7
2023-07-07,584/9,100195,GWL_DEPTH,5.22
2023-08-02,584/9,100195,GWL_DEPTH,5.96
2023-09-01,584/9,100195,GWL_DEPTH,6.24
2023-10-26,584/9,100195,GWL_DEPTH,6.5
2023-11-27,584/9,100195,GWL_DEPTH,6.55
2023-12-18,584/9,100195,GWL_DEPTH,4.94
2024-01-14,584/9,100195,GWL_DEPTH,3.57
2024-02-15,584/9,100195,GWL_DEPTH,2.99
2024-04-16,584/9,100195,GWL_DEPTH,3.0
2024-06-07,584/9,100195,GWL_DEPTH,3.58
2024-08-01,584/9,100195,GWL_DEPTH,4.59
2024-10-07,584/9,100195,GWL_DEPTH,6.02
2024-12-04,584/9,100195,GWL_DEPTH,4.14
