# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,municipality,latitude_n,longitude_w,zona
112247011,PTCF9Q,ABANO,38.74161,-9.47289,CASCAIS,38.74161,-9.47289,COS
765759088,PTCK8F,ABERTA NOVA,38.1775,-8.78175,GRÂNDOLA,38.1775,-8.78175,COS
771263244,PTCP3J,ADAÚFE,41.608842,-8.405048,BRAGA,41.608842,-8.405048,INT
10572210194,PTAW8V,ADMOIRO,38.41421,-28.34726,LAJES DO PICO,38.41421,-28.34726,COS
100611507,PTCT9U,ADRAGA,38.80352,-9.48569,SINTRA,38.80352,-9.48569,COS
100611374,PTCN2U,AFIFE,41.78083,-8.87139,VIANA DO CASTELO,41.78083,-8.87139,COS
100568901,PTCD8N,AGROAL,39.67919,-8.43631,OURÉM,39.67919,-8.43631,INT
8949683864,PTCU3D,AGROAL (ARGANIL),40.264816,-7.884838,ARGANIL,40.264816,-7.884838,INT
100611403,PTCF2D,AGUDA,41.05083,-8.65583,VILA NOVA DE GAIA,41.05083,-8.65583,COS
765759040,PTCH2U,AGUDELA,41.24139,-8.72778,MATOSINHOS,41.24139,-8.72778,COS
6793437912,PTMU7X,ALAGOA,32.77483,-16.82855,MACHICO,32.77483,-16.82855,COS
100611593,PTCF9W,ALAGOA-ALTURA,37.16906,-7.49756,CASTRO MARIM,37.16906,-7.49756,COS
100611530,PTCH2C,ALBARQUEL,38.51036,-8.91487,SETÚBAL,38.51036,-8.91487,TRAN
10573469272,PTCP7X,ALBERGARIA DOS FUSOS,38.288461,-7.918023,CUBA,38.288461,-7.918023,INT
8447967346,PTCJ7Q,ALBUFEIRA DA ESTEVAÍNHA,41.372456,-6.959602,ALFÂNDEGA DA FÉ,41.372456,-6.959602,INT
3407374864,PTCT8H,ALBUFEIRA DA MEIMÔA,40.2669,-7.14269,PENAMACOR,40.2669,-7.14269,INT
771357384,PTCQ3F,ALBUFEIRA DA TAPADA GRANDE,37.67143,-7.50522,MÉRTOLA,37.67143,-7.50522,INT
7938483812,PTCL8H,ALBUFEIRA DE ALFAIATES,40.382131,-6.926793,SABUGAL,40.382131,-6.926793,INT
100611415,11800006040601,ALBUFEIRA DE MIRANDA,41.48727,-6.2682,MIRANDA DO DOURO,41.48727,-6.2682,-
100611561,14200013121301,ALBUFEIRA DE MONTARGIL - PINTADO,39.10192,-8.14121,PONTE DE SOR,39.10192,-8.14121,-
10572221998,PTCV8C,ALBUFEIRA DE ODELEITE,37.33014,-7.49222,CASTRO MARIM,37.33014,-7.49222,INT
10573459664,PTCF8T,ALBUFEIRA DE ODIVELAS,38.18486,-8.111804,ALVITO,38.18486,-8.111804,-
771270790,14000001150101,ALBUFEIRA DE PEGO DO ALTAR,38.42257,-8.38873,ALCÁCER DO SAL,38.42257,-8.38873,-
100611558,14200005120501,ALBUFEIRA DE POVOA E MEADAS,39.48032,-7.5496,CASTELO DE VIDE,39.48032,-7.5496,-
5639081160,PTCQ2X,ALBUFEIRA DE QUEIMADELA,41.505236,-8.16276,FAFE,41.505236,-8.16276,INT
100611562,14200014120201,ALBUFEIRA DO CAIA,39.01142,-7.13054,ARRONCHES,39.01142,-7.13054,-
8949695264,PTCN8Q,ALBUFEIRA DO CALDEIRÃO,40.516924,-7.330322,GUARDA,40.516924,-7.330322,INT
771373802,PTCJ9P,ALBUFEIRA DO ERMAL,41.57554,-8.12862,VIEIRA DO MINHO,41.57554,-8.12862,INT
5639081154,PTCK3E,ALBUFEIRA DO VILAR,40.96388,-7.54372,MOIMENTA DA BEIRA,40.96388,-7.54372,INT
771357380,PTCT9H,ALDEIA DO MATO (ALB. CASTELO BODE),39.54515,-8.27767,ABRANTES,39.54515,-8.27767,INT
771263272,PTCN2L,ALDEIA RUIVA,39.7691,-7.98226,PROENÇA-A-NOVA,39.7691,-7.98226,INT
771263262,PTCK8E,ALDEIA VIÇOSA,40.58,-7.30778,GUARDA,40.58,-7.30778,INT
100611564,PTCU2T,ALEMÃES,37.08398,-8.23791,ALBUFEIRA,37.08398,-8.23791,COS
771358792,PTCW8F,ALGODIO OU DO NORTE,38.967,-9.42027,MAFRA,38.967,-9.42027,COS
5586996554,PTCQ3W,ALMACEDA,40.00758,-7.661166,CASTELO BRANCO,40.00758,-7.661166,INT
771263254,12000006182301,ALMARGEM,40.75608,-7.89035,VISEU,40.75608,-7.89035,-
