# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,coord_x,coord_y,latitude_n,longitude_w
596197002,ETA_13,ALBUFEIRA DA AGUIEIRA - PINHEIRO DO ÁZERE (ETA),,,MONDEGO,,,-,-
596193212,ETA_12,ALBUFEIRA DA AGUIEIRA - STA COMBA DÃO (ETA),,,MONDEGO,,,-,-
473531102,ETA_11,ALBUFEIRA DA APARTADURA (ETA),,,TEJO,,,-,-
458286230,ETA_03,ALBUFEIRA DA SOBREIRA (ETA),,,DOURO,,,-,-
458288620,ETA_06,ALBUFEIRA DE VILA CHÃ (ETA),,,DOURO,,,-,-
458301048,ETA_10,ALBUFEIRA DO ARROIO (ETA),,,DOURO,,,-,-
458295998,ETA_07,ALBUFEIRA NOSSA SENHORA DO DESTERRO (ETA),,,MONDEGO,,,-,-
458285290,ETA_02,ALBUFEIRA PORTO DE SÃO MIGUEL (ETA),,,DOURO,,,-,-
458284486,ETA_01,ALBUFEIRA VALE FERREIROS (ETA),,,DOURO,,,-,-
458299082,ETA_09,CABEÇA GORDA (ETA),,,TEJO,,,-,-
458297574,ETA_08,COLMEAL (ETA),,,TEJO,,,-,-
458287262,ETA_04,PINHÃO (ETA),,,DOURO,,,-,-
458287984,ETA_05,RIBEIRA DE CURROS (ETA),,,DOURO,,,-,-
