# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,altitude,latitude_n,longitude_w,coord_x,coord_y,basin,rio,area_drenada_km2,cota_zero_escala_m,district,municipality,parish,entidade_responsavel_automatica,entidade_responsavel_convencional,tipo_estacao_automatica,tipo_estacao_convencional,entrada_funcionamento_convencional,encerramento_convencional,entrada_funcionamento_automatica,encerramento_automatica,telemetria,status
1627743378,19B/01H,A-DOS-CUNHADOS,39.152,-9.302,14.0,39.152,-9.302,98984.104,243387.146,RIBEIRAS DO OESTE,RIO DE ALCABRICHEL,116.25,-,LISBOA,TORRES VEDRAS,A DOS CUNHADOS,Autoridade Nacional da Água,-,Sensor de nível,-,-,-,15-02-2002,-,NÃO,ATIVA
1627743350,03J/02H,ABELHEIRA CANAL (R.E.),41.795,-7.969,756.0,41.795,-7.969,213607.36,536212.241,CÁVADO/RIBEIRAS COSTEIRAS,RIBEIRO DAS CAVADAS OU DE ABELHEIRA,2.6,748.3838,VILA REAL,MONTALEGRE,OUTEIRO,-,EDP,-,Limnigráfica,21-12-1972,-,-,-,NÃO,ATIVA
1627743352,17H/04H,ABRANTES LOPO,39.452,-8.188,25.0,39.452,-8.188,195271.0,275953.774,TEJO,RIO TEJO,61973.8,18.83,SANTARÉM,ABRANTES,ROSSIO AO SUL DO TEJO,-,CCDR-LVT,-,Escala,01-10-1911,30-11-1977,-,-,NÃO,EXTINTA
1627743380,15G/02H,AGROAL,39.679,-8.437,88.0,39.679,-8.437,173954.479,301231.167,TEJO,RIO NABÃO,608.49,74.02,SANTARÉM,OURÉM,FORMIGAIS,Autoridade Nacional da Água,CCDR-LVT,Sensor de nível,Limnigráfica,08-10-1979,-,20-11-2001,-,SIM,ATIVA
1627743382,11H/02H,AGUIEIRA (R.E.),40.341,-8.208,89.0,40.341,-8.208,193637.802,374748.375,MONDEGO,RIO MONDEGO,3072.41,51.5,VISEU,MORTÁGUA,ALMAÇA,-,EDP,-,Escala,07-01-1957,29-09-1980,-,-,NÃO,EXTINTA
2443345812,21O/08H,AJUDA,38.778,-7.164,164.0,38.778,-7.164,284190.656,201632.177,GUADIANA,RIO GUADIANA,50401.2,-,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,Autoridade Nacional da Água,-,Sensor de nível,-,-,-,25-07-2001,13-06-2008,NÃO,DESATIVADA
1627743386,21O/03H,AJUDA (R.E.),38.778,7.164,164.0,38.778,7.164,284190.656,201632.177,,-,50401.2,145.7,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,-,EDP,-,Escala,27-02-1979,-,-,-,NÃO,ATIVA
1627743392,26J/01H,ALBERNOA,37.853,-7.965,131.0,37.853,-7.965,214820.104,98454.354,GUADIANA,RIO COBRES OU RIBEIRA DE TERGES,169.84,122.59,BEJA,BEJA,ALBERNOA,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,Escala com descarregador,10-11-1969,-,20-06-2001,-,SIM,SUSPENSA
11508860178,04K/04A,ALBUFEIRA ALTO TÂMEGA (R.E.),41.57285,-7.731819,,41.57285,-7.731819,,,DOURO,RIO TÂMEGA,4568000,-,VILA REAL,VILA POUCA DE AGUIAR,PARADA DE MONTEIROS,IBERDROLA,-,Sensor de nível,-,-,-,01-11-2023,-,SIM,ATIVA
1627743384,11H/01A,ALBUFEIRA DA AGUIEIRA (R.E.),40.340723246,-8.19670825,74.0,40.340723246,-8.19670825,194596.0,374670.0,MONDEGO,RIO MONDEGO,3069.08,-,VISEU,MORTÁGUA,ALMAÇA,EDP,EDP,Sensor de nível,Escala,01-01-1981,-,18-12-1996,-,SIM,ATIVA
