# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,latitude_n,longitude_w
454628484,09/13H,LAGOA FOGO,37.78,-25.48,SÃO MIGUEL,37.78,25.48
454628488,09/15H,LAGOA FURNAS,37.75,-25.32,SÃO MIGUEL,37.75,25.32
454628486,09/14H,LAGOA SETE CIDADES,37.87,-25.77,SÃO MIGUEL,37.87,25.77
453929624,09/01H,LOMBA ERVA,37.77,-24.18,SÃO MIGUEL,37.77,24.18
453933046,09/03H,RIBEIRA BARROSA,37.78,-25.5,SÃO MIGUEL,37.78,25.5
453933620,09/06H,RIBEIRA BISPOS,37.77,-25.2,SÃO MIGUEL,37.77,25.2
453933616,09/04H,RIBEIRA CALDEIRA VELHA,37.78,-25.5,SÃO MIGUEL,37.78,25.5
453933622,09/07H,RIBEIRA GUILHERME,37.82,-25.15,SÃO MIGUEL,37.82,25.15
453933618,09/05H,RIBEIRA LAMEIRO,37.8,-25.47,SÃO MIGUEL,37.8,25.47
453933624,09/08H,RIBEIRA LOMBADAS,37.77,-25.45,SÃO MIGUEL,37.77,25.45
453930750,09/02H,RIBEIRA ROSÁRIO,37.75,-25.45,SÃO MIGUEL,37.75,25.45
454507590,09/10H,RIBEIRA ROÇAS,37.78,-25.48,SÃO MIGUEL,37.78,25.48
454511034,09/11H,RIBEIRA TEIXEIRA,37.78,-25.48,SÃO MIGUEL,37.78,25.48
454511036,09/12H,SALTO CABRITO,37.78,-25.48,SÃO MIGUEL,37.78,25.48
454961320,09/21H,TÚNEL SETE CIDADES,37.87,-25.78,SÃO MIGUEL,37.87,25.78
