# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,latitude_n,longitude_w,coord_x,coord_y,basin,rio,area_drenada_km2,cota_zero_escala_m,district,municipality,parish,telemetria,status
2191495658,31E/01HA,ALMÁDENA,37.095879,-8.764753,37.095879,8.764753,143845.0,14640.0,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMADENA,-,-,FARO,LAGOS,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495664,31K/01HA,AMARO GONÇALVES,37.098006,-7.727232,37.098006,7.727232,236081.0,14767.0,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOSQUEIROS,-,-,FARO,TAVIRA,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495666,30G/01HA,ARROCHELA,37.178732,-8.464169,37.178732,8.464169,170600.0,23700.0,RIBEIRAS DO ALGARVE,RIO ARADE,-,-,FARO,SILVES,SILVES,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495668,31E/02HA,BARÃO DE SÃO JOÃO,37.139092,-8.771437,37.139092,8.771437,143283.0,19440.0,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMADENA,-,-,FARO,LAGOS,BARÃO DE SÃO JOÃO,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495704,31K/02HA,ESPARTOSA,37.15297,-7.812932,37.15297,7.812932,228442.0,20838.0,RIBEIRAS DO ALGARVE,RIBEIRA DO ARROIO DA PERNADA DO MARCO (ESTEIRO NOVO),-,-,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,NÃO,INSTALAÇÃO AUTOMÁTICA
6225666474,31G/01HA,ESTÔMBAR,37.156174,-8.499756,37.156174,8.499756,167430.0,21208.0,ARADE,RIO ARADE,-,-,FARO,LAGOA,ESTÔMBAR,NÃO,ATIVA
2191495706,31K/03HA,LARANJEIRAS,37.152398,-7.770664,37.152398,7.770664,232197.0,20788.0,RIBEIRAS DO ALGARVE,RIBEIRO DA FONTE DO BISPO,-,-,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495710,31K/04HA,LUZ TAVIRA,37.090353,-7.703147,37.090353,7.703147,238226.0,13927.0,RIBEIRAS DO ALGARVE,RIBEIRA DA LUZ,-,-,FARO,TAVIRA,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495712,30H/01HA,PADERNE,37.168806,-8.209106,37.168806,8.209106,193250.0,22550.0,RIBEIRAS DO ALGARVE,RIBEIRA DA QUARTEIRA OU DE ALTE,-,-,FARO,ALBUFEIRA,PADERNE,NÃO,INSTALAÇÃO AUTOMÁTICA
2191495718,30I/03HA,PONTE DA SALGADA,37.231238,-8.005172,37.231238,8.005172,211353.0,29484.0,RIBEIRAS DO ALGARVE,RIBEIRA DA SALGADA,-,-,FARO,LOULÉ,SALIR,NÃO,INSTALAÇÃO AUTOMÁTICA
