# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,altitude,latitude_n,longitude_w,coord_x,coord_y,altitude_m_1,basin,district,municipality,parish,entidade_responsavel_automatica,entidade_responsavel_convencional,tipo_estacao_automatica,tipo_estacao_convencional,entrada_funcionamento_convencional,encerramento_convencional,entrada_funcionamento_automatica,encerramento_automatica,telemetria,status,indice_qualidade
920752670,18C/02U,A-DOS-FRANCOS,39.320965,-9.04583,62.0,39.320965,-9.04583,121290.59,261839.825,62,RIBEIRAS DO OESTE,LEIRIA,CALDAS DA RAINHA,A DOS FRANCOS,-,CCDR-LVT,-,Udométrica,01-10-1979,30-09-1983,-,-,NÃO,EXTINTA,-
920752570,02G/01U,ABEDIM,41.983,-8.501,440.0,41.983,-8.501,169476.206,557024.073,440,MINHO,VIANA DO CASTELO,MONÇÃO,ABEDIM,-,CCDR-NORTE,-,Udométrica,01-01-1932,01-11-1960,-,-,NÃO,EXTINTA,-
920684954,17H/01C,ABRANTES,39.454,-8.102,105.0,39.454,-8.102,202682.0,276218.0,105,TEJO,SANTARÉM,ABRANTES,CONCAVADA,Autoridade Nacional da Água,CCDR-LVT,Climatológica,Climatológica,01-11-1931,-,01-02-2001,-,SIM,ATIVA,-
920684956,19C/03G,ABRIGADA,39.142,-9.011,84.0,39.142,-9.011,124089.548,241953.115,84,TEJO,LISBOA,ALENQUER,ABRIGADA,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udográfica,01-10-1979,-,12-08-2004,-,NÃO,SUSPENSA,-
920685726,17E/02UG,ABRÃ,39.416,-8.771,169.0,39.416,-8.771,145056.23,272184.29,169,TEJO,SANTARÉM,SANTARÉM,ABRÃ,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,01-10-1931,-,06-10-2002,-,NÃO,ATIVA,-
920684958,06O/05UG,ADEGANHA,41.265468,-7.051418,508.0,41.265468,-7.051418,290645.907,477924.666,508,DOURO,BRAGANÇA,TORRE DE MONCORVO,ADEGANHA,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,01-10-1979,-,19-02-2003,-,NÃO,ATIVA,-
920684960,07L/01U,ADORIGO,41.146,-7.607,458.0,41.146,-7.607,244170.87,464227.791,458,DOURO,VISEU,TABUAÇO,ADORIGO,-,CCDR-NORTE,-,Udométrica,01-10-1932,31-12-2001,-,-,NÃO,EXTINTA,-
920684964,09L/01UG,AGUIAR DA BEIRA,40.82,-7.54,776.0,40.82,-7.54,250004.0,428058.0,776,MONDEGO,GUARDA,AGUIAR DA BEIRA,AGUIAR DA BEIRA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,01-09-1931,-,25-09-2001,-,NÃO,ATIVA,-
920684966,12G/05C,ALAGOA,40.305,-8.183,182.0,40.305,-8.183,195800.543,370657.924,182,MONDEGO,COIMBRA,PENACOVA,SÃO PEDRO DE ALVA,Autoridade Nacional da Água,CCDR-CENTRO,Climatológica,Climatológica,01-07-1982,-,26-11-2001,-,NÃO,ATIVA,-
920684970,21M/02UG,ALANDROAL,38.693,-7.404,302.0,38.693,-7.404,263420.797,191939.393,302,GUADIANA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,07-09-1931,-,14-02-2001,-,SIM,ATIVA,-
