# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,latitude_n,longitude_w,altitude,tipo_rede
453533114,03/03M,AGUALVA,38.77,-27.18,TERCEIRA,38.77,-27.18,160.0,Climatológica
453554438,09/03M,ALGARVIA,37.83,-25.22,SÃO MIGUEL,37.83,-25.22,328.0,Climatológica
453533120,03/06M,ALTARES,38.78,-27.3,TERCEIRA,38.78,-27.3,130.0,Climatológica
453066442,06/01M,BANDEIRAS,38.53,-28.45,PICO,38.53,-28.45,120.0,Climatológica
453554442,09/05M,BARREIROS,37.82,-25.38,SÃO MIGUEL,37.82,-25.38,258.0,Climatológica
453054352,02/02M,BOCA BALEIA,39.4,-31.2,FLORES,39.4,-31.2,210.0,Climatológica
453554446,09/07M,BRETANHA,37.88,-25.73,SÃO MIGUEL,37.88,-25.73,175.0,Climatológica
453533112,03/02M,CABRITO,38.72,-27.2,TERCEIRA,38.72,-27.2,400.0,Climatológica
453066446,06/03M,CAIS PICO,38.52,-28.32,PICO,38.52,-28.32,40.0,Climatológica
453554450,09/09M,CALDEIRA VELHA,37.78,-25.52,SÃO MIGUEL,37.78,-25.52,278.0,Climatológica
453526782,05/06M,CALHETA,38.6,-28.02,SÃO JORGE,38.6,-28.02,60.0,Climatológica
453065292,04/02M,CARAPACHO,39.02,-27.97,GRACIOSA,39.02,-27.97,10.0,Climatológica
453533134,03/13M,CARVÃO,38.72,-27.22,TERCEIRA,38.72,-27.22,520.0,Climatológica
453554456,09/12M,CASA DOUTOR JOSÉ MARIA,37.85,-25.78,SÃO MIGUEL,37.85,-25.78,264.0,Climatológica
453554448,09/08M,CASA JOSÉ LINDO,37.85,-25.78,SÃO MIGUEL,37.85,-25.78,269.0,Climatológica
453554452,09/10M,CERRADO BEZERROS,37.75,-25.37,SÃO MIGUEL,37.75,-25.37,440.0,Climatológica
453554454,09/11M,CHÃ MACELA,37.78,-25.53,SÃO MIGUEL,37.78,-25.53,309.0,Climatológica
453533126,03/09M,CINCO PICOS,38.7,-27.17,TERCEIRA,38.7,-27.17,370.0,Climatológica
452454846,01/01M,CORVO,30.67,-31.12,CORVO,30.67,-31.12,30.0,Climatológica
453554460,09/14M,ESPIGÃO PONTE,37.78,-25.22,SÃO MIGUEL,37.78,-25.22,904.0,Climatológica
453054374,02/04M,FAJÃ GRANDE,39.45,-31.25,FLORES,39.45,-31.25,35.0,Climatológica
453554514,09/38M,FAJÃ REDONDA (SALTO CABRITO),37.78,-25.48,SÃO MIGUEL,37.78,-25.48,213.0,Climatológica
453533136,03/14M,FAJÃS,38.72,-27.17,TERCEIRA,38.72,-27.17,335.0,Climatológica
453533124,03/08M,FAROL SERRETA,38.77,-27.37,TERCEIRA,38.77,-27.37,85.0,Climatológica
453054384,02/05M,FAZENDA DE SANTA CRUZ,39.47,-31.15,FLORES,39.47,-31.15,70.0,Climatológica
453554444,09/06M,FETEIRAS,37.8,-25.78,SÃO MIGUEL,37.8,-25.78,150.0,Climatológica
453529088,08/01M,FONTINHAS,36.95,-25.08,SANTA MARIA,36.95,-25.08,430.0,Climatológica
453550652,09/01M,FURNAS FLORESTAL,37.77,-25.32,SÃO MIGUEL,37.77,-25.32,290.0,Climatológica
453533118,03/05M,JARDIM JUNTA GERAL,38.65,-27.22,TERCEIRA,38.65,-27.22,30.0,Climatológica
453533110,03/01M,JOSÉ AGOSTINHO,38.63,-27.22,TERCEIRA,38.63,-27.22,20.0,Climatológica
453066448,06/04M,LAGOA CAIADO,38.43,-28.25,PICO,38.43,-28.25,750.0,Climatológica
453290542,06/06M,LAGOA CAPITÃO,38.48,-28.32,PICO,38.48,-28.32,750.0,Climatológica
453554464,09/16M,LAGOA FOGO 1,37.77,-25.48,SÃO MIGUEL,37.77,-25.48,774.0,Climatológica
453554462,09/15M,LAGOA FOGO 2,37.77,-25.48,SÃO MIGUEL,37.77,-25.48,774.0,Climatológica
