# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,status,tipo_estacao,coord_x,coord_y,latitude_n,longitude_w,entidade_responsavel,basin,inicio_funcionamento,fim_de_funcionamento
100293962,01/01M,ACHADA DA MADEIRA,32.782,-16.98,ATIVA,Udográfica,314958,3628482,32.782,-16.98,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,12-04-1990,-
100293963,01/02M,AREEIRO,32.72,-16.917,ATIVA,Udográfica,320746,3621552,32.72,-16.917,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,26-11-1997,-
100293961,01/03M,BICA DA CANA,32.757,-17.058,ATIVA,Udográfica,307604,3625815,32.757,-17.058,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,27-05-1996,-
2609122150,01/04M,BOM SUCESSO (JARDIM BOTÂNICO),32.662,-16.896,EXTINTA,Udométrica,322571,3615052,32.662,-16.896,JUNTA GERAL MADEIRA,RIBEIRAS DA  MADEIRA,01-01-1959,30-04-1982
100293944,01/05M,CABEÇO DO MEIO,32.741,-16.902,ATIVA,Udométrica,322133,3623831,32.741,-16.902,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,01-10-1997,-
2609122152,01/06M,CANIÇAL,32.737,-16.742,EXTINTA,Udométrica,337102,3623126,32.737,-16.742,JUNTA GERAL MADEIRA,RIBEIRAS DA  MADEIRA,01-01-1953,30-11-1998
2609122154,01/07M,CARAMUJO,32.773,-17.063,EXTINTA,Udométrica,307186,3627603,32.773,-17.063,JUNTA GERAL MADEIRA,RIBEIRAS DA  MADEIRA,01-02-1941,30-06-1969
2609122156,01/08M,CASCALHO,32.829,-16.925,EXTINTA,Udométrica,320142,3633581,32.829,-16.925,JUNTA GERAL MADEIRA,RIBEIRAS DA  MADEIRA,01-03-1968,30-04-1982
2609122158,01/09M,CHÃO DA RIBEIRA,32.797,-17.114,EXTINTA,Udográfica,302426,3630390,32.797,-17.114,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,01-10-1990,31-05-1995
100293946,01/10M,CHÃO DAS FEITEIRAS,32.729,-16.886,ATIVA,Udográfica,323633,3622413,32.729,-16.886,IGA - INVESTIMENTOS E GESTÃO DA ÁGUA S.A. (MADEIRA),RIBEIRAS DA  MADEIRA,01-01-1989,-
