# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,district,municipality,parish,basin,altitude,coord_x,coord_y,aquifer_system,status
2028960,7/N1,AF23,41.92469,-8.67507,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,GONDAR,MINHO/ÂNCORA,358.0,155046.0,550723.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029016,10/N1,AF09,41.91878,-7.08364,BRAGANÇA,VINHAIS,SANTALHA,DOURO,872.0,287063.0,550456.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029572,19/N1,AF15,41.85251,-7.76419,VILA REAL,MONTALEGRE,MEIXEDO,CÁVADO/RIBEIRAS COSTEIRAS,1025.0,230637.0,542629.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029018,23/N1,AF05,41.87519,-7.02856,BRAGANÇA,VINHAIS,VILAR DE OSSOS,DOURO,831.0,291694.0,545671.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028990,32/N1,AF16,41.79414,-7.81418,VILA REAL,MONTALEGRE,CHÃ,CÁVADO/RIBEIRAS COSTEIRAS,1131.0,226510.0,536129.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029020,36/N1,AF03,41.77796,-7.08974,BRAGANÇA,VINHAIS,VALE DE JANEIRO,DOURO,654.0,286747.0,534808.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028994,46/N1,AF13,41.71022,-7.64128,VILA REAL,BOTICAS,SAPIÃOS,DOURO,649.0,240934.0,526875.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028982,85/N2,AD12,41.40664,-8.22817,BRAGA,GUIMARÃES,SERZEDO,AVE/LEÇA,305.0,192052.0,493046.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029008,89/N2,A27A,41.42113,-7.50495,VILA REAL,MURÇA,VILARES,DOURO,708.0,252514.0,494841.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029006,94/N1,A08,41.39131,-6.49864,BRAGANÇA,MOGADOURO,TRAVANCA,DOURO,666.0,336705.0,492627.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028984,98/N1,AF27,41.33683,-8.42498,PORTO,SANTO TIRSO,REBORDÕES,AVE/LEÇA,365.0,175569.0,485329.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028908,102/N1,AD6,41.35171,-7.74958,VILA REAL,VILA REAL,ADOUFE,DOURO,806.0,232097.0,487011.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029000,107/N1,A04,41.33517,-6.71926,BRAGANÇA,MOGADOURO,MOGADOURO,DOURO,709.0,318354.0,486067.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2037718,108/N2,,41.36273,-6.51617,BRAGANÇA,MOGADOURO,BRUNHOZINHO,DOURO,770.0,335298.0,489425.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028966,113/N2,AD10,41.27753,-8.02511,PORTO,AMARANTE,VILA CHÃ DO MARÃO,DOURO,354.0,209049.0,478708.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028976,115/N1,AD7,41.28077,-7.65124,VILA REAL,VILA REAL,VALE DE NOGUEIRAS,DOURO,627.0,240371.0,479174.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028970,119/N1,AD2,41.20757,-6.95354,BRAGANÇA,TORRE DE MONCORVO,FELGAR,DOURO,620.0,298934.0,471602.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028998,126/N1,AF30,41.10996,-7.84765,VISEU,LAMEGO,AVÕES,DOURO,948.0,223978.0,460131.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028972,130/N1,AD1,41.12322,-6.99473,BRAGANÇA,TORRE DE MONCORVO,MAÇORES,DOURO,534.0,295602.0,462188.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028974,130/N2,AD3,41.17952,-6.99007,BRAGANÇA,TORRE DE MONCORVO,FELGAR,DOURO,634.0,295911.0,468446.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028996,136/N1,AD15,41.0198,-8.05418,VISEU,CINFÃES,TENDAIS,DOURO,678.0,206639.0,450082.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029012,149/N2,A02,40.96369,-7.50241,VISEU,SERNANCELHE,FERREIRIM,DOURO,742.0,253094.0,444039.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029014,159/N1,A01,40.86274,-7.45309,VISEU,SERNANCELHE,CUNHA,DOURO,691.0,257333.0,432859.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
102738,218/45,Fervença,40.34817,-8.69541,COIMBRA,CANTANHEDE,SANGUINHEIRA,VOUGA/RIBEIRAS COSTEIRAS,25.0,152227.0,375647.0,O3 - CÁRSICO DA BAIRRADA,
109306,219/271,LUSO - FONTE DE S. JOÃO,40.38322,-8.37635,AVEIRO,MEALHADA,LUSO,VOUGA/RIBEIRAS COSTEIRAS,210.0,179345.0,379416.0,A12 - LUSO,
2038452,228/55,,40.21289,-8.71163,COIMBRA,MONTEMOR-O-VELHO,GATÕES,MONDEGO,,150751.0,360634.0,O30 - VISO - QUERIDAS,
102785,229/17,Ançã,40.27267,-8.52529,COIMBRA,CANTANHEDE,ANÇÃ,MONDEGO,35.0,166643.0,367185.0,O4 - ANÇÃ - CANTANHEDE,
2038454,239/65,,40.20422,-8.70288,COIMBRA,MONTEMOR-O-VELHO,GATÕES,MONDEGO,39.0,151489.0,359667.0,O30 - VISO - QUERIDAS,
2038456,239/66,,40.20475,-8.7308,COIMBRA,FIGUEIRA DA FOZ,SANTANA,MONDEGO,17.0,149113.0,359741.0,O30 - VISO - QUERIDAS,
102873,250/3,Arrifana,40.09603,-8.51075,COIMBRA,CONDEIXA-A-NOVA,EGA,MONDEGO,50.0,167796.0,347566.0,O11 - SICÓ - ALVAIÁZERE,
102874,251/5,ALCABIDEQUE,40.10698,-8.46534,COIMBRA,CONDEIXA-A-NOVA,CONDEIXA-A-VELHA,MONDEGO,113.0,171673.0,348766.0,O9 - PENELA - TOMAR,
105312,262/8,Ourão,40.02272,-8.58012,LEIRIA,POMBAL,REDINHA,MONDEGO,35.0,161840.0,339453.0,O11 - SICÓ - ALVAIÁZERE,
102915,262/10,Olhos d'água do Anços,39.97839,-8.5733,LEIRIA,POMBAL,REDINHA,MONDEGO,70.0,162398.0,334528.0,O11 - SICÓ - ALVAIÁZERE,
102919,263/4,Olhos d'água do Dueça,39.99327,-8.38051,COIMBRA,PENELA,PENELA (SANTA EUFÉMIA),MONDEGO,305.0,178871.0,336116.0,O11 - SICÓ - ALVAIÁZERE,
102920,263/5,Alcalamouque,40.00615,-8.45655,LEIRIA,ANSIÃO,ALVORGE,MONDEGO,215.0,172382.0,337567.0,O11 - SICÓ - ALVAIÁZERE,
102921,263/6,Alvorge,39.98255,-8.45257,LEIRIA,ANSIÃO,ALVORGE,MONDEGO,245.0,172712.0,334946.0,O11 - SICÓ - ALVAIÁZERE,
105318,275/8,Olhos d'água de Ansião,39.91872,-8.42577,LEIRIA,ANSIÃO,ANSIÃO,TEJO,205.0,174978.0,327851.0,O11 - SICÓ - ALVAIÁZERE,
34515,297/32,Fontes,39.68473,-8.76833,LEIRIA,LEIRIA,CORTES,LIS/RIBEIRAS COSTEIRAS,170.0,145506.0,302022.0,O20 - MACIÇO CALCÁRIO ESTREMENHO,
16616,416/74,,38.79618,-9.3864,LISBOA,SINTRA,SINTRA (SÃO MARTINHO),RIBEIRAS DO OESTE,,91116.45,203927.8,O0 - ORLA OCIDENTAL INDIFERENCIADO,
100101,580/9,,37.36856,-7.96867,FARO,LOULÉ,AMEIXIAL,GUADIANA,410.0,214564.0,44728.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
105789,585/1,,37.30755,-8.60628,FARO,MONCHIQUE,MONCHIQUE,RIBEIRAS DO ALGARVE,800.0,158050.0,38050.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
105790,585/2,,37.30801,-8.60515,FARO,MONCHIQUE,MONCHIQUE,RIBEIRAS DO ALGARVE,820.0,158150.0,38100.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
105791,585/3,,37.31993,-8.53539,FARO,MONCHIQUE,MONCHIQUE,ARADE,450.0,164340.0,39395.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
2027798,585/92,,37.30905,-8.59967,FARO,MONCHIQUE,MONCHIQUE,ARADE,750.0,158637.0,38213.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
