# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,district,municipality,parish,basin,altitude,coord_x,coord_y,aquifer_system,status
2028876,3/N1,A21,42.0474,-8.38867,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,40.0,178843.0,564242.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028878,3/N2,A22,42.05139,-8.50448,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,50.0,169257.0,564720.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028880,3/N3,A23,42.08108,-8.45636,VIANA DO CASTELO,MONÇÃO,TROVISCOSO,MINHO/ÂNCORA,14.0,173253.0,568002.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2004560,28/1,PERF1,41.74123,-8.64391,VIANA DO CASTELO,PONTE DE LIMA,VITORINO DAS DONAS,LIMA/NEIVA,3.0,157509.0,530330.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028884,34/N1,AF11,41.79257,-7.36325,VILA REAL,CHAVES,SANTO ANTÓNIO DE MONFORTE,DOURO,537.0,263992.0,536191.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028874,34/N2,AC75,41.75056,-7.44371,VILA REAL,CHAVES,FAIÕES,DOURO,352.0,257342.0,531469.0,A1 - VEIGA DE CHAVES,
2050590,34/30,AC1,41.74405,-7.44792,VILA REAL,CHAVES,FAIÕES,DOURO,350.7,256997.0,530743.0,A1 - VEIGA DE CHAVES,EM SERVIÇO
2050596,34/31,ACP1,41.75593,-7.44114,VILA REAL,CHAVES,FAIÕES,DOURO,355.0,257551.0,532067.0,A1 - VEIGA DE CHAVES,EM SERVIÇO
2070250,34/32,ACP2,41.7468,-7.44692,VILA REAL,CHAVES,FAIÕES,DOURO,352.0,257078.0,531049.0,A1 - VEIGA DE CHAVES,
72477,40/1,,41.72471,-8.86171,VIANA DO CASTELO,VIANA DO CASTELO,AREOSA,MINHO/ÂNCORA,10.0,139375.0,528625.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
