# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,altitude,coord_x,coord_y,latitude_n,longitude_w,entidade,district,municipality,parish,rio,area_drenada_km2,distancia_foz_km,entrada_funcionamento,data_fecho,objectivo,status
9203856240,02N/02,A VEIGA DO SEIXO,41.96772,-7.186812,DOURO,583.0,,,41.96772,-7.186812,ARH-NORTE,BRAGANÇA,VINHAIS,UNIÃO DAS FREGUESIAS DE QUIRÁS E PINHEIRO NOVO,,-,-,12-06-2019,-,-,ATIVA
9343897960,08L/09,A-DE-BARROS,40.92383,-7.54858,DOURO,577.0,,,40.92383,-7.54858,ARH-NORTE,VISEU,SERNANCELHE,UNIÃO DAS FREGUESIAS DE PENSO E FREIXINHO,,-,-,20-04-2017,-,-,ATIVA
100811533,19B/01,A-DOS-CUNHADOS,39.153084,-9.302253,RIBEIRAS DO OESTE,14.0,,,39.153084,-9.302253,ARH-TEJO,LISBOA,TORRES VEDRAS,A DOS CUNHADOS,RIO DE ALCABRICHEL,116.25,8.24,17-10-2000,-,IMPACTO,ATIVA
9200203622,16C/02,ABADIAS,39.57725,-9.034361,RIBEIRAS DO OESTE,2.0,,,39.57725,-9.034361,ARH-TEJO,LEIRIA,ALCOBAÇA,BÁRRIO,,-,-,17-05-2016,-,-,ATIVA
9203856356,04N/09,ABAMBRES,41.5552,-7.17996,DOURO,226.0,,,41.5552,-7.17996,ARH-NORTE,BRAGANÇA,MIRANDELA,ABAMBRES,,-,-,09-05-2017,-,-,ATIVA
6862640904,02G/05,ABOIM DAS CHOÇAS - CCHE,41.916647,-8.447244,LIMA,61.0,,,41.916647,-8.447244,EDP,VIANA DO CASTELO,ARCOS DE VALDEVEZ,ABOIM DAS CHOÇAS,RIO VEZ,-,-,28-05-2013,-,TURH,ATIVA
9343898310,17H/08,ABRANCALHA DE BAIXO,39.47205,-8.226125,TEJO,54.0,,,39.47205,-8.226125,ARH-TEJO,SANTARÉM,ABRANTES,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,,-,-,16-11-2016,-,-,ATIVA
9203856424,05N/07,ABREIRO,41.34473,-7.27556,DOURO,200.0,,,41.34473,-7.27556,ARH-NORTE,BRAGANÇA,VILA FLOR,FREIXIEL,,-,-,21-05-2018,-,-,ATIVA
9925141856,10L/06,ABRUNHOSA-A-VELHA - CCHE,40.56681,-7.6375,MONDEGO,299.0,,,40.56681,-7.6375,EDP,-,-,-,RIO MONDEGO,-,-,19-09-2016,-,-,ATIVA
9343898514,22E/02,ACEIRO DOS CARAMELOS,38.654555,-8.788102,TEJO,24.0,,,38.654555,-8.788102,ARH-TEJO,SETÚBAL,PALMELA,UNIÃO DAS FREGUESIAS DE POCEIRÃO E MARATECA,,-,-,04-04-2017,-,-,ATIVA
