# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,district,municipality,parish,basin,altitude,coord_x,coord_y,aquifer_system,status
2028876,3/N1,A21,42.0474,-8.38867,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,40.0,178843.0,564242.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028878,3/N2,A22,42.05139,-8.50448,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,50.0,169257.0,564720.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028880,3/N3,A23,42.08108,-8.45636,VIANA DO CASTELO,MONÇÃO,TROVISCOSO,MINHO/ÂNCORA,14.0,173253.0,568002.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028960,7/N1,AF23,41.92469,-8.67507,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,GONDAR,MINHO/ÂNCORA,358.0,155046.0,550723.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029016,10/N1,AF09,41.91878,-7.08364,BRAGANÇA,VINHAIS,SANTALHA,DOURO,872.0,287063.0,550456.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028824,14/N1,AF24,41.89721,-8.72432,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,SOPO,MINHO/ÂNCORA,331.0,150939.0,547697.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028826,14/N2,AF25,41.9138,-8.7478,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,GONDARÉM,MINHO/ÂNCORA,136.0,149004.0,549554.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2028862,17/N1,AF26,41.8883,-8.27061,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,LIMA/NEIVA,548.0,188589.0,546548.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029572,19/N1,AF15,41.85251,-7.76419,VILA REAL,MONTALEGRE,MEIXEDO,CÁVADO/RIBEIRAS COSTEIRAS,1025.0,230637.0,542629.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
2029018,23/N1,AF05,41.87519,-7.02856,BRAGANÇA,VINHAIS,VILAR DE OSSOS,DOURO,831.0,291694.0,545671.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,
