# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,altitude,coord_x,coord_y,latitude_n,longitude_w,rio,area_drenada_km2,distancia_foz_km
111717548,24M/05,ALBUFEIRA  DO ALQUEVA,38.223622184,-7.458578414,GUADIANA,85.0,259064.9,139837.27,38.223622184,-7.458578414,RIO GUADIANA,53694.17,164.99
774113516,27H/03,ALBUFEIRA MONTE DA ROCHA,37.727755644,-8.28616991,SADO,135.0,186504.77,84593.7,37.727755644,-8.28616991,RIO SADO,244.89,161.94
111717557,24N/01,ALCARRACHE,38.330732476,-7.262617873,GUADIANA,160.0,276112.94,151870.23,38.330732476,-7.262617873,RIBEIRA DE ALCARRACHE,414.34,190.51
438864094,24N/03,ALCARRACHE-CONFLUÊNCIA,38.319000956,-7.333532916,GUADIANA,138.0,269923.41,150511.94,38.319000956,-7.333532916,,937.73,183.41
111717566,23I/02H,ALCAÇOVAS,38.439227705,-8.158426355,SADO,150.0,197788.27,163555.92,38.439227705,-8.158426355,RIBEIRA DE ALCÁÇOVAS,314.08,90.06
111717525,14H/02H,ALGE,39.979676329,-8.275127653,TEJO,370.0,187868.43,334587.39,39.979676329,-8.275127653,RIBEIRA DO ALGE,43.74,240.6
111717554,24L/03,ALQUEVA-CAPTAÇÃO,38.339138288,-7.572781881,GUADIANA,143.0,248986.79,152593.45,38.339138288,-7.572781881,RIO DEGEBE,1284.99,181.42
716980882,24N/04,ALQUEVA-GODELIM2,38.28993778,-7.21201138,GUADIANA,154.0,280583.09,147384.61,38.28993778,-7.21201138,RIBEIRA DE GODELIM,422.6,198.57
438860414,23M/03,ALQUEVA-MOURÃO,38.391448412,-7.388057847,GUADIANA,104.0,265090.16,158514.27,38.391448412,-7.388057847,,134.58,189.51
111717499,06I/05H,AMARANTE (INAG),41.26788784,-8.08181575,DOURO,72.0,204298.76,477632.43,41.26788784,-8.08181575,RIO TÂMEGA,2848.9,80.77
111717559,24O/01H,ARDILA,38.17186372,-7.129395409,GUADIANA,139.0,287953.14,134352.85,38.17186372,-7.129395409,RIO ARDILA,2837.19,202.96
111717549,25L/02H,AÇUDE DE PEDROGÃO,38.10600012,-7.644397832,GUADIANA,88.0,242861.94,126678.89,38.10600012,-7.644397832,RIO GUADIANA,59403.96,135.52
111717568,25E/02H,BADOCA,38.073424908,-8.781915309,RIBEIRAS DO ALENTEJO,5.0,143068.03,123149.59,38.073424908,-8.781915309,RIBEIRA DA BADOCA OU SANTO ANDRÉ,100.28,4.97
111717488,07P/04,BARCA DE ALVA,41.035333739,-6.921749504,DOURO,135.0,301866.45,452510.42,41.035333739,-6.921749504,RIO DOURO,75683.96,217.03
111717480,04E/07,BARROSELAS,41.637146323,-8.696446079,LIMA/NEIVA,39.0,153063.06,518796.24,41.637146323,-8.696446079,RIO CÁVADO,155.33,13.82
111717535,17N/01H,BEIRÃ,39.46526763,-7.30638572,TEJO,293.0,271145.43,277788.26,39.46526763,-7.30638572,RIO SEVER,115.9,284.71
111717577,31E/01H,BENSAFRIM,37.155426382,-8.72174363,RIBEIRAS DO ALGARVE,15.0,147708.46,21223.83,37.155426382,-8.72174363,RIBEIRA DE BENSAFRIM,22.39,8.77
111717479,03F/03,BERTIANDOS,41.752273446,-8.632020051,LIMA/NEIVA,0.0,158505.28,531550.25,41.752273446,-8.632020051,RIO LIMA,2269.8,21.35
111717569,31K/03H,BODEGA,37.161935598,-7.698656335,RIBEIRAS DO ALGARVE,16.0,238587.62,21871.9,37.161935598,-7.698656335,RIBEIRA DE ALPORTEL,133.64,11.78
111717474,01F/05,BOUÇAS,42.069582084,-8.527294262,MINHO/ÂNCORA,20.0,167377.83,566749.54,42.069582084,-8.527294262,RIO MINHO,16065.82,42.44
111717552,20O/03H,CAIA-GUADIANA,38.84307308,-7.076764643,GUADIANA,156.0,291710.31,208916.21,38.84307308,-7.076764643,RIO CAIA,834.21,258.99
111717534,21C/05,CAIS DE SACAVÉM,38.797662398,-9.103357327,TEJO,15.0,115708.95,203792.99,38.797662398,-9.103357327,RIO TRANCÃO,286.69,39.44
111717510,08G/02,CAPTAÇÃO DO RIO ÍNSUA,40.838090654,-8.46479486,VOUGA/RIBEIRAS COSTEIRAS,145.0,172025.29,429952.56,40.838090654,-8.46479486,RIO INSUA OU UI,32.36,42.67
111717473,01H/03H,CASAIS,42.146794337,-8.20249754,MINHO/ÂNCORA,58.0,194265.6,575253.0,42.146794337,-8.20249754,RIO MINHO,15163.62,78.48
111717494,06M/05H,CASTANHEIRO (INAG),41.242398319,-7.39193909,DOURO,153.0,262131.18,475064.81,41.242398319,-7.39193909,RIO TUA,3767.41,148.69
111717522,16D/03,CHIQUEDA,39.536752949,-8.945689765,RIBEIRAS DO OESTE,55.0,130142.0,285715.0,39.536752949,-8.945689765,RIO ALCOA,55.31,16.22
111717570,31J/01H,COIRO DA BURRA,37.099898269,-7.903269609,RIBEIRAS DO ALGARVE,70.0,220429.68,14923.35,37.099898269,-7.903269609,RIO SECO,36.79,26.38
111717497,06K/05H,ERMIDA CORGO,41.228479845,-7.749279816,DOURO,138.0,232182.87,473325.35,41.228479845,-7.749279816,RIO CORGO,309.69,116.88
111717565,23I/01H,FLOR DA ROSA,38.360589191,-8.067830858,SADO,163.0,205704.03,154828.28,38.360589191,-8.067830858,RIBEIRA DO XARRAMA,328.03,115.76
111717477,03G/06,FONTE VELHA,41.809193955,-8.421633136,LIMA/NEIVA,24.0,176025.0,537792.26,41.809193955,-8.421633136,RIO LIMA,1728.78,42.92
111717517,15E/06,FONTES,39.687638108,-8.779071204,LIS/RIBEIRAS COSTEIRAS,78.0,144586.82,302351.62,39.687638108,-8.779071204,RIO LIS,56.06,36.84
111717573,30H/04,FOZ DO RIBEIRO,37.306820727,-8.240154055,ARADE,131.0,190508.0,37869.0,37.306820727,-8.240154055,RIO ARADE,81.98,48.77
111717501,07F/03H,FOZ DO SOUSA,41.094412219,-8.501283692,DOURO,5.0,169067.86,458430.7,41.094412219,-8.501283692,RIO SOUSA,555.37,19.62
111717500,07H/06,FOZ DO TÂMEGA,41.083479842,-8.291826565,DOURO,18.0,186663.46,457163.28,41.083479842,-8.291826565,RIO TÂMEGA,3310.7,49.29
111717505,08H/04H,FRAGAS DA TORRE (INAG),40.939470329,-8.180318678,DOURO,176.0,196024.72,441159.07,40.939470329,-8.180318678,RIO PAIVA,646.68,76.54
8516505846,16K/06QA,FRATEL,39.547188,-7.7938855,TEJO,,229156.93,286610.73,39.547188,-7.7938855,,-,-
111717543,19L/01,FRONTEIRA,39.070879227,-7.649963429,TEJO,171.0,241811.09,233787.5,39.070879227,-7.649963429,RIBEIRA GRANDE OU DE AVIZ,795.46,210.45
111717526,16G/01H,FÁBRICA DA MATRENA,39.532048336,-8.379382941,TEJO,50.0,178825.97,284905.98,39.532048336,-8.379382941,RIO NABÃO,1047.15,163.76
111717516,13H/04H,GEVIM,40.141871952,-8.262492522,MONDEGO,95.0,188974.01,352595.51,40.141871952,-8.262492522,RIO AROUCE OU RIBEIRA DE SÃO JOÃO OU DA SARDEIRA,41.36,75.48
111717558,24N/02,GODELIM,38.327924933,-7.262752467,GUADIANA,133.0,276104.11,151558.46,38.327924933,-7.262752467,RIBEIRA DE GODELIM,459.41,190.46
111717486,05H/04,GOLÃES,41.461655942,-8.185373006,AVE/LEÇA,252.0,195634.32,499152.91,41.461655942,-8.185373006,RIO VIZELA,47.77,69.23
111717546,22N/02,GUADIANA/TÁLIGA,38.598565093,-7.260392901,GUADIANA,133.0,276025.96,181604.06,38.598565093,-7.260392901,RIO GUADIANA,51235.18,218.47
111717483,04G/10,HOMEM (FISCAL),41.654403498,-8.399808733,CÁVADO/RIBEIRAS COSTEIRAS,33.0,177785.19,520593.84,41.654403498,-8.399808733,RIO HOMEM,193.62,48.04
111717482,04E/08,MARACHÃO,41.506976877,-8.716615765,CÁVADO/RIBEIRAS COSTEIRAS,27.0,151284.69,504349.86,41.506976877,-8.716615765,RIO CÁVADO,1502.53,9.18
111717502,06G/07,MODELOS,41.259679148,-8.395355381,DOURO,265.0,178023.01,476752.85,41.259679148,-8.395355381,RIO FERREIRA,57.56,50.17
111717562,25G/03H,MOINHO DA GAMITINHA,38.062664493,-8.403596175,SADO,31.0,176260.78,121790.77,38.062664493,-8.403596175,RIO SADO,2713.16,112.63
111717541,18I/01H,MOINHO NOVO,39.228229355,-8.028999525,TEJO,99.0,208988.88,251150.73,39.228229355,-8.028999525,RIO SÔR,647.05,163.26
111717555,27J/01H,MONTE DA PONTE,37.832728653,-7.861949135,GUADIANA,106.0,223869.22,96268.45,37.832728653,-7.861949135,RIO COBRES OU RIBEIRA DE TERGES,454.81,129.04
