# snapshot_date: 2026-07-15
uid,code,name,latitude,longitude,basin,municipality,entidade_responsavel,altitude,coord_x,coord_y,latitude_n,longitude_w,rio,area_drenada_km2,entrada_funcionamento
222306330,15G/02S,AGROAL,39.41,-8.26,TEJO,TOMAR,-,79.0,174016.0,301252.0,39.41,8.26,-,611,-
222416662,26J/01S,ALBERNOA,37.51,-7.57,GUADIANA,BEJA,-,125.0,214876.0,98978.0,37.51,7.57,RIBEIRA DE TERGES,172,-
222320368,17G/02S,ALMOUROL,39.28,-8.22,TEJO,VILA NOVA DA BARQUINHA,-,20.0,179164.0,277852.0,39.28,8.22,RIO TEJO,67490,-
222396048,24L/01S,AMIEIRA,38.18,-7.33,GUADIANA,REGUENGOS DE MONSARAZ,-,109.0,251029.0,148674.0,38.18,7.33,RIO DEGEBE,1454,-
3809138910,31F/02SED,ARADE - FORTE SÃO JOÃO,37.1192,-8.52423,RIBEIRAS DO ALGARVE,LAGOA,INAG/IPIMAR,,,,37.1192,8.52423,RIO ARADE,-,-
3809138906,31F/01SED,ARADE - MEXILHOEIRA CARREGAÇÃO,37.14425,-8.51528,RIBEIRAS DO ALGARVE,LAGOA,INAG/IPIMAR,,,,37.14425,8.51528,RIO ARADE,-,-
3809138890,30G/01SED,ARADE - SILVES,37.18635,-8.43978,RIBEIRAS DO ALGARVE,SILVES,INAG/IPIMAR,,,,37.18635,8.43978,RIO ARADE,-,-
222399576,25M/01S,ARDILA,38.1,-7.25,GUADIANA,MOURA,-,83.0,262835.0,134076.0,38.1,7.25,RIO ARDILA,3634,-
221780284,03D/01S,ASPRA,41.48,-8.5,MINHO/ÂNCORA,CAMINHA,-,7.0,140832.0,537523.0,41.48,8.5,RIO ÂNCORA,76,-
222438218,30L/04S,ATALISCA,37.17,-7.34,GUADIANA,CASTRO MARIM,-,100.0,248957.0,36502.0,37.17,7.34,RIBEIRA DE BELICHE,55,-
3823617910,05E/08SED,AVE - FOZ,41.33923,-8.74768,AVE,VILA DO CONDE,INAG/IPIMAR,,,,41.33923,8.74768,RIO AVE,-,-
3823617906,05E/07SED,AVE - GRANJA,41.342,-8.74472,AVE,VILA DO CONDE,INAG/IPIMAR,,,,41.342,8.74472,RIO AVE,-,-
3823617898,05E/05SED,AVE - SANTA CLARA,41.35142,-8.73695,AVE,VILA DO CONDE,INAG/IPIMAR,,,,41.35142,8.73695,RIO AVE,-,-
3823617902,05E/06SED,AVE - SÃO SEBASTIÃO,41.34895,-8.74248,AVE,VILA DO CONDE,INAG/IPIMAR,,,,41.34895,8.74248,RIO AVE,-,-
222306326,15E/05S,AÇUDE DO ARRABALDE,39.45,-8.49,LIS/RIBEIRAS COSTEIRAS,LEIRIA,-,28.0,141379.0,309961.0,39.45,8.49,RIO LIS,268,-
6798528144,08F/13,BARRINHA ESMORIZ (Sedimentos),40.966158,-8.64687,DOURO,-,ARH-NORTE,,143280.8,387263.3,40.966158,8.64687,BARRINHA DE ESMORIZ,-,-
3823617934,08F/12,BARRINHA ESMORIZ - B (Sedimentos),40.96611,-8.65056,DOURO,-,INAG/IPIMAR,,,,40.96611,8.65056,BARRINHA DE ESMORIZ,-,-
3823617938,08F/05SED,BARRINHA ESMORIZ - C,40.96583,-8.64889,DOURO,-,INAG/IPIMAR,,,,40.96583,8.64889,BARRINHA DE ESMORIZ,-,-
3823617942,08F/06SED,BARRINHA ESMORIZ - D,40.96611,-8.64583,DOURO,-,INAG/IPIMAR,,,,40.96611,8.64583,BARRINHA DE ESMORIZ,-,-
6798528172,31E/02,BENSAFRIM JUSANTE (Sedimentos),37.118528,-8.675237,RIBEIRAS DO ALGARVE,LAGOS,ARH-ALGARVE,,151710.0,17277.0,37.118528,8.675237,RIBEIRA DE BENSAFRIM,-,-
222438224,31K/03S,BODEGA,37.1,-7.42,RIBEIRAS DO ALGARVE,TAVIRA,-,13.0,238728.0,21745.0,37.1,7.42,RIBEIRA DE ALPORTEL,132,-
3821243058,28E/01SED,BOTELHA GRANDE 2,37.62455,-8.6877,MIRA,-,INAG/IPIMAR,,,,37.62455,8.6877,RIO MIRA,-,-
222307564,17F/01S,C.N.F.T. TORRES NOVAS,39.29,-8.33,TEJO,TORRES NOVAS,-,40.0,164789.0,279922.0,39.29,8.33,RIO ALMONDA,45,-
6798562886,19D/10,CAIS DO PALÁCIO (Sedimentos),39.034729,-8.871266,TEJO,AZAMBUJA,ARH-TEJO,,135980.0,230099.14,39.034729,8.871266,-,-,-
222138794,10J/01S,CALDAS SÃO GEMIL,40.31,-7.58,MONDEGO,TONDELA,-,170.0,213864.0,395797.0,40.31,7.58,RIO DÃO,617,-
222172172,11H/04S,CARVALHAL DO FREIXO,40.22,-8.13,MONDEGO,MORTÁGUA,-,70.0,193243.0,377433.0,40.22,8.13,RIBEIRA DE MORTAGUA OU DE CRISTINA OU DA FOZ OU DE MOINHOS OU DO LAGOEIRO OU RIBEIRO DO CARVALHAL OU DE PAREDES,196,-
222126086,09M/01S,CELORICO DA BEIRA (GARE),40.4,-7.23,MONDEGO,CELORICO DA BEIRA,-,400.0,263044.0,411866.0,40.4,7.23,RIBEIRA DOS TAMANHOS,78,-
222436002,30E/01S,CERCA DOS POMARES,37.2,-8.45,RIBEIRAS DO ALGARVE,ALJEZUR,-,39.0,145375.0,40740.0,37.2,8.45,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,38,-
222335572,18L/01S,COUTO DE ANDREIROS,39.16,-7.37,TEJO,CRATO,-,200.0,244911.0,256224.0,39.16,7.37,-,244,-
3823618342,05E/02SED,CWB - I - 1B_2,41.40057,-8.79013,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,41.40057,8.79013,OCEANO ATLÂNTICO,-,-
3823618358,11E/03SED,CWB - I - 2_1,40.58071,-8.77641,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,40.58071,8.77641,OCEANO ATLÂNTICO,-,-
3823618364,09E/07SED,CWB - I - 2_2,40.68488,-8.75138,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,40.68488,8.75138,OCEANO ATLÂNTICO,-,-
3823618822,22B/04SED,CWB - I - 4_1,38.6464,-9.33258,TEJO,-,INAG/IPIMAR,,,,38.6464,9.33258,OCEANO ATLÂNTICO,-,-
3823618818,22A/02SED,CWB - I - 4_2,38.60188,-9.40127,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,38.60188,9.40127,OCEANO ATLÂNTICO,-,-
3823618808,22B/05SED,CWB - I - 4_3,38.55702,-9.3147,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,38.55702,9.3147,OCEANO ATLÂNTICO,-,-
3823618812,22B/03SED,CWB - I - 4_4,38.57182,-9.25182,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,38.57182,9.25182,OCEANO ATLÂNTICO,-,-
3823618826,22A/03SED,CWB - I - 4_5,38.66122,-9.45303,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,38.66122,9.45303,OCEANO ATLÂNTICO,-,-
3823618804,23B/01SED,CWB - I - 4_6,38.4752,-9.24742,OCEANO ATLÂNTICO,-,INAG/IPIMAR,,,,38.4752,9.24742,OCEANO ATLÂNTICO,-,-
